submission_id,file,language,cluster,centroid_similarity
1314158843,1314158843.cpp,cpp,5,0.9927186965942383
1314158851,1314158851.cpp,cpp,5,0.9927186965942383
1314158859,1314158859.cpp,cpp,5,0.9927186965942383
1314158862,1314158862.cpp,cpp,5,0.9629596471786499
1314168969,1314168969.java,java,4,0.9985060691833496
1314184031,1314184031.java,java,4,0.994892418384552
1314184304,1314184304.java,java,4,0.996769368648529
1314186184,1314186184.cpp,cpp,3,0.955636739730835
1314212329,1314212329.cpp,cpp,3,0.9752418994903564
1314222956,1314222956.java,java,4,0.9985060691833496
1314222962,1314222962.java,java,4,0.996769368648529
1314235234,1314235234.cpp,cpp,3,0.9828547239303589
1314235802,1314235802.cpp,cpp,3,0.9511228799819946
1314235845,1314235845.cpp,cpp,3,0.9766024947166443
1314236028,1314236028.java,java,7,0.909005880355835
1314236163,1314236163.cpp,cpp,3,0.979145884513855
1314236204,1314236204.cpp,cpp,1,0.9872511625289917
1314236379,1314236379.cpp,cpp,1,0.9860737919807434
1314236520,1314236520.java,java,7,0.9718096256256104
1314236564,1314236564.cpp,cpp,1,0.9911062121391296
1314236632,1314236632.cpp,cpp,1,0.9923089742660522
1314236638,1314236638.java,java,6,0.9904729723930359
1314236683,1314236683.cpp,cpp,1,0.992928147315979
1314236693,1314236693.cpp,cpp,3,0.9801755547523499
1314236712,1314236712.cpp,cpp,0,0.9931370615959167
1314236741,1314236741.java,java,6,0.9903709888458252
1314236771,1314236771.java,java,7,0.9748919010162354
1314236788,1314236788.cpp,cpp,1,0.991649329662323
1314236817,1314236817.java,java,2,0.9907960891723633
1314236829,1314236829.cpp,cpp,0,0.9919087886810303
1314236901,1314236901.cpp,cpp,1,0.9917703866958618
1314236920,1314236920.cpp,cpp,1,0.9915874600410461
1314236969,1314236969.java,java,7,0.9611815214157104
1314237041,1314237041.cpp,cpp,1,0.9713405966758728
1314237053,1314237053.java,java,2,0.9657397866249084
1314237062,1314237062.cpp,cpp,3,0.9587264060974121
1314237095,1314237095.java,java,2,0.9923914670944214
1314237119,1314237119.cpp,cpp,3,0.9841454029083252
1314237143,1314237143.cpp,cpp,1,0.9728168249130249
1314237178,1314237178.cpp,cpp,0,0.968163013458252
1314237264,1314237264.cpp,cpp,0,0.9931151270866394
1314237394,1314237394.cpp,cpp,1,0.9733291864395142
1314237440,1314237440.java,java,7,0.9657764434814453
1314237503,1314237503.java,java,2,0.9931947588920593
1314237561,1314237561.java,java,6,0.9846887588500977
1314237580,1314237580.cpp,cpp,3,0.9788995385169983
1314237611,1314237611.java,java,2,0.9929184913635254
1314237712,1314237712.java,java,6,0.9820412397384644
1323078705,1323078705.cpp,cpp,3,0.9383085370063782
1323079709,1323079709.java,java,7,0.9491796493530273
1323079843,1323079843.cpp,cpp,3,0.9562392234802246
1323079981,1323079981.cpp,cpp,3,0.9722293019294739
1323105206,1323105206.java,java,6,0.9306696653366089
1323374501,1323374501.java,java,7,0.9365482330322266
1323374677,1323374677.java,java,7,0.93943190574646
1323388419,1323388419.cpp,cpp,5,0.9251755475997925
1323398709,1323398709.cpp,cpp,3,0.9772194027900696
1323398884,1323398884.cpp,cpp,3,0.9781999588012695
1323409209,1323409209.cpp,cpp,1,0.9762235879898071
1323410048,1323410048.cpp,cpp,1,0.9682087898254395
1323414901,1323414901.cpp,cpp,3,0.9604610204696655
1323431344,1323431344.cpp,cpp,1,0.9401429891586304
1323449697,1323449697.java,java,6,0.9760468602180481
1323449733,1323449733.java,java,6,0.9774855375289917
1323449824,1323449824.cpp,cpp,3,0.9879038333892822
1323450152,1323450152.cpp,cpp,3,0.9840915203094482
1331892309,1331892309.java,java,7,0.9834380745887756
1331892366,1331892366.java,java,7,0.9803222417831421
1331892429,1331892429.java,java,7,0.9839447736740112
1333772905,1333772905.cpp,cpp,3,0.9325141906738281
1333773505,1333773505.cpp,cpp,3,0.9450725317001343
1333773627,1333773627.cpp,cpp,3,0.959019660949707
1333777242,1333777242.cpp,cpp,3,0.9675297737121582
1333787279,1333787279.cpp,cpp,3,0.9839454889297485
1333788831,1333788831.java,java,6,0.9885569214820862
1333799188,1333799188.cpp,cpp,3,0.9781084060668945
1333803013,1333803013.java,java,7,0.9771528244018555
1333805821,1333805821.cpp,cpp,3,0.9719295501708984
1344489937,1344489937.java,java,7,0.9794896245002747
1344573200,1344573200.cpp,cpp,3,0.9539940357208252
1344629085,1344629085.cpp,cpp,1,0.8602830171585083
1344635351,1344635351.cpp,cpp,3,0.9511228799819946
1359952643,1359952643.cpp,cpp,3,0.9762052297592163
1360496791,1360496791.cpp,cpp,3,0.9814652800559998
1370607970,1370607970.cpp,cpp,3,0.9837690591812134
1378126300,1378126300.java,java,7,0.9824402332305908
1378130544,1378130544.java,java,7,0.9860648512840271
1378138561,1378138561.java,java,7,0.9581686854362488
1378139766,1378139766.cpp,cpp,3,0.9614247679710388
1378143030,1378143030.java,java,7,0.9875349998474121
1378150681,1378150681.cpp,cpp,3,0.9739025831222534
1378150766,1378150766.cpp,cpp,3,0.9743569493293762
1391186585,1391186585.cpp,cpp,3,0.9714601635932922
1391688758,1391688758.cpp,cpp,3,0.9753456711769104
1391740445,1391740445.java,java,6,0.9880460500717163
1391779860,1391779860.cpp,cpp,3,0.9792373180389404
1391779874,1391779874.cpp,cpp,3,0.9827876687049866
1391779888,1391779888.cpp,cpp,3,0.978975236415863
1391831540,1391831540.java,java,2,0.9617956876754761
1391831565,1391831565.java,java,6,0.9903709888458252
1391864412,1391864412.cpp,cpp,3,0.9666752219200134
1391864462,1391864462.cpp,cpp,3,0.984869122505188
1391864553,1391864553.cpp,cpp,3,0.9741718173027039
1391864700,1391864700.cpp,cpp,3,0.9714542031288147
