problem,submission_id,location,type
cutiile-magice,1314236783,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236783.java,source_file
cutiile-magice,1314236783,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236783.java,source_file
cutiile-magice,1344729754,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1344729754.cpp,source_file
cutiile-magice,1344729754,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1344729754.cpp,source_file
cutiile-magice,1323410467,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323410467.cpp,source_file
cutiile-magice,1323410467,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1323410467.cpp,source_file
cutiile-magice,1314236792,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236792.cpp,source_file
cutiile-magice,1314236792,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236792.cpp,source_file
cutiile-magice,1314237121,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237121.cpp,source_file
cutiile-magice,1314237121,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314237121.cpp,source_file
cutiile-magice,1314237727,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237727.java,source_file
cutiile-magice,1314237727,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314237727.java,source_file
cutiile-magice,1314235724,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314235724.java,source_file
cutiile-magice,1314235724,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314235724.java,source_file
cutiile-magice,1370576016,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1370576016.cpp,source_file
cutiile-magice,1370576016,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1370576016.cpp,source_file
cutiile-magice,1314236596,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236596.java,source_file
cutiile-magice,1314236596,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236596.java,source_file
cutiile-magice,1378139543,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1378139543.java,source_file
cutiile-magice,1378139543,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1378139543.java,source_file
cutiile-magice,1314236709,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236709.java,source_file
cutiile-magice,1314236709,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236709.java,source_file
cutiile-magice,1332763114,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1332763114.cpp,source_file
cutiile-magice,1332763114,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1332763114.cpp,source_file
cutiile-magice,1344729753,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1344729753.cpp,source_file
cutiile-magice,1344729753,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1344729753.cpp,source_file
cutiile-magice,1314236983,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236983.cpp,source_file
cutiile-magice,1314236983,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236983.cpp,source_file
cutiile-magice,1323453986,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323453986.java,source_file
cutiile-magice,1323453986,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1323453986.java,source_file
cutiile-magice,1314236739,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236739.cpp,source_file
cutiile-magice,1314236739,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236739.cpp,source_file
cutiile-magice,1332764094,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1332764094.java,source_file
cutiile-magice,1332764094,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1332764094.java,source_file
cutiile-magice,1314237111,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237111.cpp,source_file
cutiile-magice,1314237111,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314237111.cpp,source_file
cutiile-magice,1314236280,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236280.java,source_file
cutiile-magice,1314236280,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314236280.java,source_file
cutiile-magice,1323431878,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323431878.cpp,source_file
cutiile-magice,1323431878,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1323431878.cpp,source_file
cutiile-magice,1314236112,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236112.cpp,source_file
cutiile-magice,1314236112,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236112.cpp,source_file
cutiile-magice,1314236156,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236156.cpp,source_file
cutiile-magice,1314236156,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236156.cpp,source_file
cutiile-magice,1314237635,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237635.java,source_file
cutiile-magice,1314237635,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314237635.java,source_file
cutiile-magice,1314237426,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237426.java,source_file
cutiile-magice,1314237426,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314237426.java,source_file
cutiile-magice,1323431291,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1323431291.cpp,source_file
cutiile-magice,1323431291,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1323431291.cpp,source_file
cutiile-magice,1314237247,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314237247.java,source_file
cutiile-magice,1314237247,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\java\1314237247.java,source_file
cutiile-magice,1314236228,data\analysis_dataset_deduplicated\submissions\cutiile-magice\1314236228.cpp,source_file
cutiile-magice,1314236228,data\analysis_dataset_deduplicated\jplag_input\cutiile-magice\cpp\1314236228.cpp,source_file
gigel-si-raspandirea-vestilor,1314237865,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237865.java,source_file
gigel-si-raspandirea-vestilor,1314237865,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314237865.java,source_file
gigel-si-raspandirea-vestilor,1408570843,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408570843.cpp,source_file
gigel-si-raspandirea-vestilor,1408570843,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408570843.cpp,source_file
gigel-si-raspandirea-vestilor,1314236530,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314236530.java,source_file
gigel-si-raspandirea-vestilor,1314236530,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314236530.java,source_file
gigel-si-raspandirea-vestilor,1333804486,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1333804486.cpp,source_file
gigel-si-raspandirea-vestilor,1333804486,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1333804486.cpp,source_file
gigel-si-raspandirea-vestilor,1314235512,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235512.java,source_file
gigel-si-raspandirea-vestilor,1314235512,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\java\1314235512.java,source_file
gigel-si-raspandirea-vestilor,1408570853,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1408570853.cpp,source_file
gigel-si-raspandirea-vestilor,1408570853,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1408570853.cpp,source_file
gigel-si-raspandirea-vestilor,1314237746,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314237746.cpp,source_file
gigel-si-raspandirea-vestilor,1314237746,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314237746.cpp,source_file
gigel-si-raspandirea-vestilor,1323090318,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1323090318.cpp,source_file
gigel-si-raspandirea-vestilor,1323090318,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1323090318.cpp,source_file
gigel-si-raspandirea-vestilor,1314235273,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1314235273.cpp,source_file
gigel-si-raspandirea-vestilor,1314235273,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1314235273.cpp,source_file
gigel-si-raspandirea-vestilor,1323090024,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1323090024.cpp,source_file
gigel-si-raspandirea-vestilor,1323090024,data\analysis_dataset_deduplicated\jplag_input\gigel-si-raspandirea-vestilor\cpp\1323090024.cpp,source_file
gigel-si-raspandirea-vestilor,1323445123,data\analysis_dataset_deduplicated\submissions\gigel-si-raspandirea-vestilor\1323445123.cpp,source_file
